county,state,year,number_of_crimes,geometry,crime_ranking
Las Animas,CO,1994,3,POINT (-103.2224779 38.0664563),0.9990421455938696
Surry,NC,1994,3,POINT (-78.7810393 35.6854572),0.9990421455938696
Charleston,SC,1994,41,POINT (-79.9399309 32.7884363),0.9808429118773946
Madison,TX,1994,2,POINT (-97.1249457 33.1118001),0.9995210727969348
Trinity,TX,1994,1,POINT (-95.375496 30.9451862),1.0
Alexandria,VA,1994,10,POINT (-77.0470229 38.8051095),0.9956896551724138
Delta,CO,1995,2,POINT (-108.0729172 38.7436121),0.9995210727969348
Lucas,OH,1995,37,POINT (-82.41847 40.7037641),0.9827586206896552
Custer,OK,1985,3,POINT (-98.8831418 35.6650491),0.9990421455938696
Jasper,GA,1987,1,POINT (-84.4290918 34.4678687),1.0
Forsyth,NC,1987,30,POINT (-80.3134854 36.1698499),0.9861111111111112
Henderson,NC,1990,5,POINT (-78.4027265 36.3273648),0.9980842911877394
Milwaukee,WI,1992,142,POINT (-87.9090751 43.0386475),0.932471264367816
Pacific,WA,1993,1,POINT (-122.2485492 47.2640129),1.0
Glades,FL,1980,1,POINT (-80.2052687 25.9105056),1.0
Terrell,GA,1980,2,POINT (-83.518789 32.8143053),0.9995210727969348
Kenton,KY,1980,12,POINT (-84.4560507 38.8683985),0.9947318007662836
Lewis and Clark,MT,1980,3,POINT (-114.0112597 46.8366584),0.9990421455938696
Forsyth,NC,1980,18,POINT (-80.3134854 36.1698499),0.9918582375478928
Hoke,NC,1980,3,POINT (-76.8152226 35.7334952),0.9990421455938696
Essex,NJ,1980,201,POINT (-74.2845925 40.8245442),0.9042145593869731
Niagara,NY,1980,12,POINT (-74.1302653 41.3163725),0.9947318007662836
Claiborne,TN,1980,4,POINT (-83.578862 36.4403249),0.9985632183908046
Eastland,TX,1980,2,POINT (-98.8194482 32.4006299),0.9995210727969348
Tom Green,TX,1980,11,POINT (-97.7337686 30.2943657),0.9952107279693486
Litchfield,CT,1981,1,POINT (-73.1887243 41.747319),1.0
Jefferson,KS,1981,2,POINT (-95.7613684 37.1122964),0.9995210727969348
Bourbon,KY,1981,1,POINT (-84.6224415 37.0520216),1.0
Fayette,KY,1981,16,POINT (-84.4970393 38.0464066),0.992816091954023
Marquette,MI,1981,2,POINT (-87.396433 46.5434914),0.9995210727969348
Wexford,MI,1981,1,POINT (-85.7574898 44.4881468),1.0
Dent,MO,1981,1,POINT (-91.9737686 37.5533768),1.0
Carter,TN,1981,1,POINT (-83.7341305 36.0262686),1.0
Culpeper,VA,1981,1,POINT (-77.9961275 38.4733823),1.0
Newport News,VA,1981,19,POINT (-76.42977 36.9775016),0.9913793103448276
Taylor,WV,1981,1,POINT (-78.9797507 39.0470527),1.0
Harmon,OK,1982,1,POINT (-99.5603898 36.1447648),1.0
Marshall,OK,1982,1,POINT (-97.6260122 36.1540766),1.0
Tulare,CA,1983,30,POINT (-119.3473421 36.2077351),0.9861111111111112
Jefferson,GA,1983,1,POINT (-83.5723876 34.1170537),1.0
Toombs,GA,1983,2,POINT (-82.3475861 32.0480485),0.9995210727969348
Johnson,TN,1983,1,POINT (-84.5624337 35.6722958),1.0
Marion,TX,1983,3,POINT (-98.1403096 29.5713244),0.9990421455938696
Wood,TX,1983,2,POINT (-102.3288028 31.8669402),0.9995210727969348
Bath,VA,1983,2,POINT (-78.2279514 39.6267975),0.9995210727969348
Cumberland,VA,1983,1,POINT (-78.2446058 37.4966375),1.0
Clare,MI,1984,1,POINT (-84.768628 43.81947),1.0
Summit,OH,1984,22,POINT (-84.6219297 39.1266104),0.9899425287356322
Rockingham,VA,1984,2,POINT (-79.9219809 37.2143049),0.9995210727969348
Covington,VA,1984,1,POINT (-79.9939484 37.7934528),1.0
Outagamie,WI,1984,2,POINT (-88.4103672 44.2589232),0.9995210727969348
Dillingham,AK,1985,1,POINT (-158.4604177 59.0398598),1.0
Glynn,GA,1985,6,POINT (-81.527325 31.2221733),0.9976053639846744
Cumberland,ME,1985,6,POINT (-70.2581692 43.7966548),0.9976053639846744
Cheshire,NH,1985,1,POINT (-72.0370998 42.7576513),1.0
Lea,NM,1985,5,POINT (-103.5332653 32.5223457),0.9980842911877394
Jackson,WV,1985,1,POINT (-81.7131724 37.9503829),1.0
Muscatine,IA,1986,2,POINT (-91.0436508 41.4246132),0.9995210727969348
Montgomery,IN,1986,2,POINT (-87.0461181 38.6625493),0.9995210727969348
Barren,KY,1986,1,POINT (-85.6177459 37.1278349),1.0
Washington,MS,1986,7,POINT (-91.2992784 31.5787773),0.9971264367816092
Northampton,PA,1986,9,POINT (-75.0020315 40.209433),0.9961685823754788
Saluda,SC,1986,1,POINT (-81.7720522 34.0015232),1.0
Polk,TX,1986,2,POINT (-95.915026 30.1517012),0.9995210727969348
Ward,TX,1986,2,POINT (-97.0275053 32.4643062),0.9995210727969348
Harrison,WV,1986,5,POINT (-80.9534376 38.5128786),0.9980842911877394
Clarke,GA,1987,6,POINT (-83.376398 33.9597677),0.9976053639846744
Montgomery,KY,1987,1,POINT (-87.740569 36.8781038),1.0
Berkshire,MA,1987,2,POINT (-73.3690013 42.1889783),0.9995210727969348
Martinsville,VA,1987,1,POINT (-79.8725386 36.6915262),1.0
Dallas,AR,1988,2,POINT (-94.2190985 34.5359403),0.9995210727969348
Craven,NC,1988,2,POINT (-80.3317223 35.6284724),0.9995210727969348
Person,NC,1988,1,POINT (-78.6354341 35.7731164),1.0
Gray,TX,1988,3,POINT (-94.0735169 32.7876413),0.9990421455938696
Winchester,VA,1988,1,POINT (-78.1652404 39.1852184),1.0
Phillips,AR,1989,2,POINT (-90.5842757 35.816464),0.9995210727969348
St. Clair,MI,1989,5,POINT (-82.4864138 42.8254954),0.9980842911877394
Caldwell,NC,1989,6,POINT (-80.8429011 35.4536826),0.9976053639846744
Pickens,SC,1989,3,POINT (-82.7073573 34.8834489),0.9990421455938696
Spotsylvania,VA,1989,1,POINT (-77.5891622 38.2010057),1.0
Carteret,NC,1990,2,POINT (-77.0630033 34.6915509),0.9995210727969348
Marshall,OK,1990,2,POINT (-97.6260122 36.1540766),0.9995210727969348
Centre,PA,1990,1,POINT (-77.4072089 40.3561943),1.0
Frio,TX,1990,1,POINT (-102.4074249 34.7153425),1.0
Moore,TX,1990,1,POINT (-99.0074768 29.0564311),1.0
Chelan,WA,1990,1,POINT (-120.0164591 47.8409698),1.0
Ventura,CA,1991,41,POINT (-119.293174 34.2783355),0.9808429118773946
Wayne,GA,1991,1,POINT (-83.9346257 34.1762127),1.0
Douglas,MN,1991,1,POINT (-92.5721145 44.1084944),1.0
Randolph,MO,1991,1,POINT (-94.4955088 39.1577814),1.0
Hoke,NC,1991,8,POINT (-76.8152226 35.7334952),0.996647509578544
Rockingham,NH,1991,7,POINT (-71.2314007 42.7691851),0.9971264367816092
Coos,NH,1991,1,POINT (-71.5678623 44.5061682),1.0
Stark,OH,1991,15,POINT (-83.7374339 40.8339419),0.9932950191570882
Atoka,OK,1991,4,POINT (-96.1289831 34.383855),0.9985632183908046
Erie,PA,1991,7,POINT (-80.0852695 42.1294712),0.9971264367816092
Barnwell,SC,1991,2,POINT (-81.3587178 33.2448733),0.9995210727969348
Matagorda,TX,1991,3,POINT (-95.9679527 28.6929285),0.9990421455938696
Whatcom,WA,1991,3,POINT (-122.4829038 48.7550742),0.9990421455938696
Summers,WV,1991,1,POINT (-80.828716 39.1575853),1.0
Marion,KY,1992,4,POINT (-88.0811349 37.3328286),0.9985632183908046
Anne Arundel,MD,1992,13,POINT (-76.4739519 39.0311487),0.9942528735632185
Chester,PA,1992,6,POINT (-75.3557458 39.849557),0.9976053639846744
Pennington,SD,1992,2,POINT (-103.1944283 44.0503329),0.9995210727969348
Tallapoosa,AL,1993,11,POINT (-85.8485691 32.5515236),0.9952107279693486
Dallas,AR,1993,3,POINT (-94.2190985 34.5359403),0.9990421455938696
Scott,MS,1993,1,POINT (-91.0742748 33.5917794),1.0
Jefferson,NY,1993,4,POINT (-74.6104276 42.4811884),0.9985632183908046
Klamath,OR,1993,5,POINT (-121.78167 42.224867),0.9980842911877394
Petersburg,VA,1993,11,POINT (-77.4019268 37.227928),0.9952107279693486
Franklin,WA,1993,6,POINT (-121.951616 47.3015647),0.9976053639846744
Lawrence,AL,1994,1,POINT (-85.5310715 34.2323159),1.0
Allegan,MI,1994,1,POINT (-85.8553031 42.5291989),1.0
St. Lawrence,NY,1994,2,POINT (-76.1677157 44.1772711),0.9995210727969348
Adams,PA,1994,2,POINT (-79.6424845 40.940948),0.9995210727969348
Crockett,TN,1994,1,POINT (-89.0428435 36.2981215),1.0
Charlotte,FL,1995,3,POINT (-82.0906448 26.9761707),0.9990421455938696
Scott,IA,1995,9,POINT (-91.7654411 42.7019277),0.9961685823754788
Randolph,NC,1995,5,POINT (-80.793835 35.1742534),0.9980842911877394
Sevier,TN,1984,1,POINT (-83.8154593 36.0400839),1.0
Stephens,GA,1989,2,POINT (-83.1615422 33.794843),0.9995210727969348
Allen,LA,1989,2,POINT (-93.2885038 31.8354411),0.9995210727969348
Panola,TX,1989,1,POINT (-94.0912991 32.3579347),1.0
Williamsburg,SC,1990,4,POINT (-80.4202061 33.9683795),0.9985632183908046
Madison,AL,1994,24,POINT (-86.7511427 34.6928726),0.988984674329502
Boone,MO,1994,10,POINT (-94.593209 38.9629901),0.9956896551724138
Ross,OH,1994,4,POINT (-84.6507966 39.312296),0.9985632183908046
Lamar,AL,1980,1,POINT (-85.3952287 33.3967806),1.0
Shoshone,ID,1980,1,POINT (-114.406017 42.9361293),1.0
Clearfield,PA,1980,2,POINT (-78.4391876 41.0272796),0.9995210727969348
Beaufort,SC,1980,4,POINT (-80.6698286 32.4315813),0.9985632183908046
Cherokee,SC,1980,7,POINT (-81.8909376 35.0498442),0.9971264367816092
Potter,TX,1980,20,POINT (-95.5784086 33.6775751),0.9909003831417624
San Joaquin,CA,1981,61,POINT (-120.1890447 36.6066162),0.971264367816092
Tolland,CT,1981,1,POINT (-72.3677153 41.8700166),1.0
Franklin,PA,1981,6,POINT (-79.831444 41.397836),0.9976053639846744
Ward,TX,1981,1,POINT (-97.0275053 32.4643062),1.0
Walla Walla,WA,1981,3,POINT (-118.339345 46.0667277),0.9990421455938696
Heard,GA,1982,1,POINT (-83.6837952 32.5379252),1.0
Vermilion,IL,1982,3,POINT (-87.5889125 39.5811463),0.9990421455938696
Gladwin,MI,1982,2,POINT (-84.486401 43.980855),0.9995210727969348
Butler,MO,1982,1,POINT (-94.3329016 38.2587399),1.0
Randolph,NC,1982,3,POINT (-80.793835 35.1742534),0.9990421455938696
Hardin,TX,1982,1,POINT (-94.739089 30.1524348),1.0
La Crosse,WI,1982,1,POINT (-91.2514355 43.8122836),1.0
Richland,WI,1982,3,POINT (-90.3407093 43.3364155),0.9990421455938696
Carter,KY,1983,1,POINT (-83.1207313 38.4289683),1.0
Clay,KY,1983,2,POINT (-87.8200159 37.4767119),0.9995210727969348
McCracken,KY,1983,2,POINT (-88.6729927 37.093124),0.9995210727969348
Rockland,NY,1983,7,POINT (-74.9129403 41.9453663),0.9971264367816092
Obion,TN,1983,2,POINT (-89.1917353 36.2589567),0.9995210727969348
Cabell,WV,1983,8,POINT (-81.2314908 37.788725),0.996647509578544
Monterey,CA,1984,23,POINT (-121.8946388 36.600256),0.9894636015325672
Harlan,KY,1984,6,POINT (-83.321848 36.8431441),0.9976053639846744
Taylor,TX,1984,6,POINT (-97.4141053 30.5728854),0.9976053639846744
Estill,KY,1985,3,POINT (-82.8187717 37.4570438),0.9990421455938696
Calvert,MD,1985,2,POINT (-75.9824455 39.7003884),0.9995210727969348
El Paso,TX,1985,30,POINT (-106.4870404 31.7601164),0.9861111111111112
Petersburg,VA,1985,4,POINT (-77.4019268 37.227928),0.9985632183908046
Haralson,GA,1986,1,POINT (-84.5711501 33.2265413),1.0
Jackson,GA,1986,2,POINT (-83.9660209 33.2945651),0.9995210727969348
Winnebago,IL,1986,19,POINT (-89.2412202 42.2661312),0.9913793103448276
Boone,IN,1986,1,POINT (-87.1294742 41.3547602),1.0
Estill,KY,1986,4,POINT (-82.8187717 37.4570438),0.9985632183908046
Trumbull,OH,1986,12,POINT (-80.9539818 41.6781106),0.9947318007662836
Monroe,PA,1986,4,POINT (-76.4750527 41.7130118),0.9985632183908046
San Jacinto,TX,1986,2,POINT (-102.104742 32.0082624),0.9995210727969348
Rockbridge,VA,1986,1,POINT (-79.4068338 37.898921),1.0
Effingham,GA,1987,2,POINT (-81.2840558 32.2777807),0.9995210727969348
Catahoula,LA,1987,2,POINT (-91.7090023 30.2146431),0.9995210727969348
Norfolk,MA,1987,8,POINT (-71.3250564 42.1195426),0.996647509578544
Saline,MO,1987,2,POINT (-93.7280015 40.5269494),0.9995210727969348
Coos,NH,1987,1,POINT (-71.5678623 44.5061682),1.0
Strafford,NH,1987,3,POINT (-71.18454 43.327176),0.9990421455938696
Centre,PA,1987,1,POINT (-77.4072089 40.3561943),1.0
Fayette,PA,1987,7,POINT (-79.918944 39.8222992),0.9971264367816092
Philadelphia,PA,1987,270,POINT (-75.1635262 39.9527237),0.8711685823754789
Greenwood,SC,1987,1,POINT (-82.1617883 34.1954001),1.0
Hamilton,TX,1987,2,POINT (-98.1237815 31.7030549),0.9995210727969348
Eau Claire,WI,1987,1,POINT (-91.4984941 44.811349),1.0
Jackson,WI,1987,1,POINT (-88.1667599 43.3238919),1.0
La Plata,CO,1988,3,POINT (-108.0631295 37.3972204),0.9990421455938696
Henry,IN,1988,2,POINT (-85.587475 39.7858778),0.9995210727969348
Franklin,ME,1988,1,POINT (-68.2322375 44.5870207),1.0
Montgomery,MS,1988,1,POINT (-90.3267521 33.2973452),1.0
Greene,PA,1988,2,POINT (-80.4671144 40.602629),0.9995210727969348
Davidson,TN,1988,81,POINT (-86.7742984 36.1622767),0.9616858237547892
Travis,TX,1988,55,POINT (-97.0027678 31.1354588),0.9741379310344828
Giles,VA,1988,1,POINT (-81.4473359 38.1342717),1.0
Montgomery,AL,1989,39,POINT (-86.3091683 32.37742),0.9818007662835248
New London,CT,1989,10,POINT (-72.0997804 41.3556187),0.9956896551724138
Cleveland,NC,1989,5,POINT (-80.6770111 35.7331953),0.9980842911877394
Bernalillo,NM,1989,45,POINT (-106.551425 35.3009305),0.978927203065134
Greene,OH,1989,2,POINT (-80.7630634 41.4622053),0.9995210727969348
Claiborne,TN,1989,1,POINT (-83.578862 36.4403249),1.0
El Paso,TX,1989,46,POINT (-106.4870404 31.7601164),0.978448275862069
Shelby,IN,1990,1,POINT (-87.34783 41.1952458),1.0
Elko,NV,1990,4,POINT (-115.7630942 40.83269),0.9985632183908046
Lycoming,PA,1990,4,POINT (-77.0389542 41.2438002),0.9985632183908046
Claiborne,TN,1990,1,POINT (-83.578862 36.4403249),1.0
Scurry,TX,1990,1,POINT (-96.3808167 32.5187487),1.0
Sevier,UT,1990,1,POINT (-112.2582612 38.5863615),1.0
Boone,AR,1991,2,POINT (-93.021009 36.4736776),0.9995210727969348
Washington,AR,1991,11,POINT (-93.6825052 33.7743483),0.9952107279693486
Monroe,IN,1991,1,POINT (-84.9369111 40.7450468),1.0
Lyon,KS,1991,3,POINT (-96.2150524 38.4101719),0.9990421455938696
Whitley,KY,1991,3,POINT (-84.4734339 36.724481),0.9990421455938696
Berrien,MI,1991,8,POINT (-86.2756113 41.9420995),0.996647509578544
Arlington,VA,1991,12,POINT (-77.0841585 38.8903961),0.9947318007662836
Lassen,CA,1992,1,POINT (-118.4680188 34.2503611),1.0
Liberty,GA,1992,4,POINT (-83.1370993 33.421523),0.9985632183908046
Eddy,NM,1992,2,POINT (-104.237612 32.4257456),0.9995210727969348
Monroe,NY,1992,55,POINT (-74.1866348 41.3304767),0.9741379310344828
Prince William,VA,1992,6,POINT (-77.3007735 38.638942),0.9976053639846744
Sweetwater,WY,1992,5,POINT (-108.183704 42.5421817),0.9980842911877394
Dallas,AL,1993,11,POINT (-86.576659 34.7439798),0.9952107279693486
Garrard,KY,1993,1,POINT (-83.746308 37.1237006),1.0
Gladwin,MI,1993,4,POINT (-84.486401 43.980855),0.9985632183908046
Otero,NM,1993,3,POINT (-105.9288749 32.8906592),0.9990421455938696
Cattaraugus,NY,1994,3,POINT (-78.86809 42.329229),0.9990421455938696
Wise,TX,1994,1,POINT (-96.035248 32.5134708),1.0
Mesa,CO,1995,7,POINT (-108.1395061 39.1661104),0.9971264367816092
Wayne,GA,1995,1,POINT (-83.9346257 34.1762127),1.0
Houston,MN,1995,2,POINT (-91.5684764 43.7632995),0.9995210727969348
Mayes,OK,1983,1,POINT (-95.3240152 36.2391627),1.0
Waynesboro,VA,1983,1,POINT (-78.8893999 38.0686668),1.0
Sherman,OR,1985,1,POINT (-121.6432333 44.4600866),1.0
Virginia Beach,VA,1985,17,POINT (-75.9760751 36.8496579),0.992337164750958
Cecil,MD,1988,2,POINT (-76.5991251 38.5856763),0.9995210727969348
Clackamas,OR,1989,11,POINT (-122.5532561 45.4146516),0.9952107279693486
Johnson,GA,1991,2,POINT (-83.9707386 34.1723231),0.9995210727969348
Otero,CO,1993,1,POINT (-104.9567165 39.5694563),1.0
Pima,AZ,1980,55,POINT (-109.827581 32.8961755),0.9741379310344828
Jefferson,CO,1980,3,POINT (-105.8005286 39.3773608),0.9990421455938696
New London,CT,1980,8,POINT (-72.0997804 41.3556187),0.996647509578544
Defiance,OH,1980,2,POINT (-84.3557802 41.2844933),0.9995210727969348
Hardin,TN,1980,2,POINT (-84.1850671 35.9311512),0.9995210727969348
Matagorda,TX,1980,12,POINT (-95.9679527 28.6929285),0.9947318007662836
Hopewell,VA,1980,2,POINT (-77.2872001 37.3043154),0.9995210727969348
Petersburg,VA,1980,8,POINT (-77.4019268 37.227928),0.996647509578544
Broward,FL,1981,184,POINT (-80.1112059 26.2983934),0.9123563218390804
Morton,KS,1981,1,POINT (-97.752994 37.6054087),1.0
Lake,MI,1981,1,POINT (-85.005307 43.8519677),1.0
Warren,OH,1981,2,POINT (-80.8190423 41.2367955),0.9995210727969348
Charles Mix,SD,1981,1,POINT (-98.8426848 43.3786025),1.0
Colonial Heights,VA,1981,1,POINT (-77.4112016 37.2555718),1.0
Hartford,CT,1982,55,POINT (-72.6908547 41.764582),0.9741379310344828
Winona,MN,1982,1,POINT (-91.6392294 44.0500054),1.0
Franklin,TN,1982,1,POINT (-86.8689419 35.925206),1.0
Cass,TX,1982,2,POINT (-94.0632404 33.1951296),0.9995210727969348
Wise,VA,1983,3,POINT (-82.5757108 36.9759345),0.9990421455938696
York,VA,1983,3,POINT (-82.1254221 38.905913),0.9990421455938696
Dane,WI,1983,8,POINT (-89.5015088 43.2505472),0.996647509578544
Shawnee,KS,1984,5,POINT (-94.7145415 39.0229714),0.9980842911877394
Kalamazoo,MI,1984,8,POINT (-85.5872286 42.291707),0.996647509578544
Onondaga,NY,1984,13,POINT (-76.2350903 42.9649911),0.9942528735632185
Kleberg,TX,1984,3,POINT (-96.6158262 32.6715211),0.9990421455938696
Taylor,WI,1984,1,POINT (-91.1236072 44.3217773),1.0
Colbert,AL,1985,2,POINT (-85.2366056 32.2826476),0.9995210727969348
Caldwell,KY,1985,2,POINT (-84.3913267 38.806734),0.9995210727969348
Thayer,NE,1985,1,POINT (-97.4972726 40.9686242),1.0
Clark,NV,1985,79,POINT (-119.481755 39.5640019),0.9626436781609196
Humboldt,NV,1985,1,POINT (-118.2518134 40.6029609),1.0
Frio,TX,1985,3,POINT (-102.4074249 34.7153425),0.9990421455938696
Kendall,TX,1985,3,POINT (-97.1116957 33.0879517),0.9990421455938696
Starr,TX,1985,8,POINT (-98.1922329 26.1622972),0.996647509578544
Toombs,GA,1986,3,POINT (-82.3475861 32.0480485),0.9990421455938696
Baltimore,MD,1986,31,POINT (-76.610759 39.2908816),0.985632183908046
Caroline,MD,1986,3,POINT (-75.7711823 39.0696337),0.9990421455938696
Wyoming,NY,1986,1,POINT (-78.0897329 42.8264498),1.0
Washington,OK,1986,1,POINT (-97.4845861 35.0589697),1.0
Indiana,PA,1986,1,POINT (-79.1533097 40.622825),1.0
Lawrence,TN,1986,2,POINT (-88.7906131 35.6486823),0.9995210727969348
Collin,TX,1986,10,POINT (-96.8163888 33.1987288),0.9956896551724138
Anchorage,AK,1987,15,POINT (-149.894852 61.2163129),0.9932950191570882
Jefferson,AR,1987,9,POINT (-92.1640352 34.3806516),0.9961685823754788
Cochise,AZ,1987,6,POINT (-109.9211294 32.1139648),0.9976053639846744
Pulaski,GA,1987,1,POINT (-81.9567837 32.3901752),1.0
Van Buren,MI,1987,8,POINT (-83.4841464 42.2207982),0.996647509578544
Onslow,NC,1987,8,POINT (-77.5074674 34.4479452),0.996647509578544
Clark,NV,1987,61,POINT (-119.481755 39.5640019),0.971264367816092
Schuylkill,PA,1987,4,POINT (-75.1871235 39.942335),0.9985632183908046
Kershaw,SC,1987,2,POINT (-80.5832479 34.5517286),0.9995210727969348
Arlington,VA,1987,4,POINT (-77.0841585 38.8903961),0.9985632183908046
Outagamie,WI,1987,1,POINT (-88.4103672 44.2589232),1.0
Wilcox,AL,1988,1,POINT (-86.8763619 31.5084965),1.0
Yolo,CA,1988,10,POINT (-121.8077431 38.7318481),0.9956896551724138
Spalding,GA,1988,13,POINT (-83.9985963 32.2935267),0.9942528735632185
Greene,OH,1988,5,POINT (-80.7630634 41.4622053),0.9980842911877394
Tolland,CT,1989,1,POINT (-72.3677153 41.8700166),1.0
Coffee,GA,1989,6,POINT (-82.3115156 31.507709),0.9976053639846744
Black Hawk,IA,1989,4,POINT (-90.6376389 41.5208652),0.9985632183908046
Plymouth,MA,1989,2,POINT (-70.6673851 41.9583799),0.9995210727969348
Forrest,MS,1989,2,POINT (-89.3167289 31.3154526),0.9995210727969348
Overton,TN,1989,1,POINT (-89.9956448 35.2470321),1.0
Coosa,AL,1990,3,POINT (-86.3455327 33.2792796),0.9990421455938696
Morgan,GA,1990,1,POINT (-84.5993601 31.5376731),1.0
Scott,IN,1990,1,POINT (-85.5569295 41.7336618),1.0
Clark,NV,1990,89,POINT (-119.481755 39.5640019),0.9578544061302682
Chittenden,VT,1990,3,POINT (-72.9476604 43.707734),0.9990421455938696
Hampshire,WV,1990,3,POINT (-79.0769751 39.4720377),0.9990421455938696
Cochise,AZ,1991,5,POINT (-109.9211294 32.1139648),0.9980842911877394
Mohave,AZ,1991,3,POINT (-114.5973754 34.89992),0.9990421455938696
Elkhart,IN,1991,7,POINT (-85.9766671 41.6819935),0.9971264367816092
Madison,MS,1991,3,POINT (-90.1153638 32.4618086),0.9990421455938696
Pickens,SC,1991,8,POINT (-82.7073573 34.8834489),0.996647509578544
Wood,WV,1991,4,POINT (-81.9154142 38.7714727),0.9985632183908046
Winnebago,IL,1992,13,POINT (-89.2412202 42.2661312),0.9942528735632185
Ellsworth,KS,1992,1,POINT (-98.2281126 38.7305648),1.0
Rockingham,NH,1992,5,POINT (-71.2314007 42.7691851),0.9980842911877394
Yolo,CA,1993,11,POINT (-121.8077431 38.7318481),0.9952107279693486
Russell,KY,1993,2,POINT (-82.6976631 38.5173028),0.9995210727969348
Wayne,NE,1993,1,POINT (-97.0178768 42.2303215),1.0
Putnam,TN,1993,2,POINT (-85.4983996 36.1423085),0.9995210727969348
Westmoreland,VA,1993,2,POINT (-76.5588445 38.0642959),0.9995210727969348
Juneau,AK,1994,16,POINT (-134.419734 58.3019496),0.992816091954023
Jefferson,AL,1994,164,POINT (-87.8980699 32.3868067),0.9219348659003832
Payette,ID,1994,1,POINT (-116.9350051 44.0759382),1.0
Beaufort,NC,1994,3,POINT (-76.6591587 34.7180601),0.9990421455938696
Franklin,NY,1994,1,POINT (-75.1651689 42.3406373),1.0
Camp,TX,1994,1,POINT (-101.5987752 36.6053331),1.0
Newport News,VA,1994,25,POINT (-76.42977 36.9775016),0.9885057471264368
Clark,WA,1994,14,POINT (-118.6894206 47.9249627),0.9937739463601531
Meriwether,GA,1995,5,POINT (-83.2991502 33.1489724),0.9980842911877394
Delaware,IN,1995,2,POINT (-85.2071816 39.1478313),0.9995210727969348
Rutherford,NC,1995,5,POINT (-78.7207704 35.645118),0.9980842911877394
Wayne,NY,1984,2,POINT (-77.1055262 42.4709046),0.9995210727969348
Macomb,MI,1987,26,POINT (-82.9179487 42.6726042),0.9880268199233716
Bradley,TN,1987,4,POINT (-82.6344746 36.5537532),0.9985632183908046
