county,state,year,number_of_crimes,geometry,crime_ranking
Rutherford,NC,2013,1,POINT (-78.7207704 35.645118),1.0
Obion,TN,2013,1,POINT (-89.1917353 36.2589567),1.0
Branch,MI,2012,1,POINT (-86.0393851 43.9462075),1.0
Okmulgee,OK,2012,1,POINT (-95.9719711 35.6230879),1.0
Goochland,VA,2012,2,POINT (-77.884925 37.6824439),0.9995210727969348
Clark,WA,2012,7,POINT (-118.6894206 47.9249627),0.9971264367816092
Faulkner,AR,2014,3,POINT (-94.0863113 34.3403867),0.9990421455938696
Missoula,MT,2014,3,POINT (-113.995267 46.8701049),0.9990421455938696
Duplin,NC,2014,4,POINT (-77.980414 34.9609444),0.9985632183908046
Suffolk,NY,2014,29,POINT (-72.475919 40.9914896),0.9865900383141762
Montgomery,PA,2014,16,POINT (-76.8769076 41.1703592),0.992816091954023
Flagler,FL,2002,2,POINT (-80.8971805 29.0390605),0.9995210727969348
Lackawanna,PA,2005,5,POINT (-75.6396334 41.4450831),0.9980842911877394
Pacific,WA,2006,1,POINT (-122.2485492 47.2640129),1.0
Knox,TN,2012,27,POINT (-86.7996516 36.1979846),0.9875478927203064
Lapeer,MI,2014,1,POINT (-83.3188341 43.0514161),1.0
Bradley,TN,2014,3,POINT (-82.6344746 36.5537532),0.9990421455938696
Jasper,SC,1995,3,POINT (-79.9432627 32.7758279),0.9990421455938696
Wood,WI,1995,1,POINT (-90.1389141 44.4825495),1.0
Nelson,KY,1996,4,POINT (-87.0508288 37.3297661),0.9985632183908046
Gratiot,MI,1996,1,POINT (-82.4805061 43.0414386),1.0
Hennepin,MN,1996,81,POINT (-93.2798879 44.9827372),0.9616858237547892
Rankin,MS,1996,2,POINT (-89.9070243 32.2865353),0.9995210727969348
Cleveland,NC,1996,6,POINT (-80.6770111 35.7331953),0.9976053639846744
Rockingham,NC,1996,3,POINT (-79.7739457 34.9393201),0.9990421455938696
Anchorage,AK,1997,25,POINT (-149.894852 61.2163129),0.9885057471264368
Pueblo,CO,1997,9,POINT (-104.6141867 38.263995),0.9961685823754788
Noble,OK,1997,1,POINT (-97.3932252 35.14209),1.0
Payne,OK,1997,4,POINT (-97.5300307 34.9061837),0.9985632183908046
Spartanburg,SC,1997,15,POINT (-81.9320157 34.9498007),0.9932950191570882
Tolland,CT,1998,1,POINT (-72.3677153 41.8700166),1.0
Webster,IA,1998,3,POINT (-92.1689711 41.4382977),0.9990421455938696
Evangeline,LA,1998,2,POINT (-92.5706934 30.2624271),0.9995210727969348
Washington,MN,1998,1,POINT (-92.3387786 43.7757967),1.0
Yates,NY,1998,1,POINT (-78.388284 43.3394606),1.0
Riverside,CA,1999,96,POINT (-117.374238 33.9824949),0.9545019157088124
Gwinnett,GA,1999,25,POINT (-84.0088396 33.9590688),0.9885057471264368
Cumberland,ME,1999,4,POINT (-70.2581692 43.7966548),0.9985632183908046
Kandiyohi,MN,1999,1,POINT (-94.9311166 45.1321856),1.0
Jefferson,OH,1999,1,POINT (-80.7694443 41.7383614),1.0
Maury,TN,1999,8,POINT (-89.2256244 35.814796),0.996647509578544
San Jacinto,TX,1999,2,POINT (-102.104742 32.0082624),0.9995210727969348
Ouachita,LA,2000,14,POINT (-92.070966 32.7251366),0.9937739463601531
Rock,WI,2000,3,POINT (-89.1036638 42.628104),0.9990421455938696
Delaware,IN,2001,1,POINT (-85.2071816 39.1478313),1.0
Bienville,LA,2001,4,POINT (-92.9804375 32.3568222),0.9985632183908046
Lancaster,NE,2001,6,POINT (-96.7262306 40.8208568),0.9976053639846744
Rockingham,NH,2001,4,POINT (-71.2314007 42.7691851),0.9985632183908046
Logan,OH,2001,1,POINT (-82.4084891 39.5398708),1.0
