state,county,total_cost,cost_of_living_ranking,geometry
MD,Garrett,20029.860654,0.936698634429203,POINT (-77.0951454 39.0342764)
MI,Oceana,20787.385738,0.9151169140357291,POINT (-80.1232997 25.895148)
AR,Faulkner,21902.52606,0.8833468154116519,POINT (-79.726451 38.9095528)
CA,Orange,35363.468680000005,0.4998475676726354,POINT (-117.850308 33.7872568)
IN,Whitley,21916.458956,0.8829498703175627,POINT (-85.6280381 41.0847677)
MI,St. Joseph,20366.031944,0.9271211894860156,POINT (-86.4799538 42.1095808)
FL,Martin,24071.09559,0.821564754013581,POINT (-82.190373 29.2938628)
FL,Nassau,23918.271418,0.8259186805291919,POINT (-81.816029 30.5051365)
GA,Heard,21512.494716,0.894458721259642,POINT (-83.6837952 32.5379252)
IL,McHenry,28988.487224,0.6814693650268374,POINT (-88.2674875 42.3431427)
MD,Wicomico,22692.111232,0.8608517102740683,POINT (-76.8766366 38.4134581)
AZ,Santa Cruz,19906.784290000003,0.940205052541284,POINT (-111.90707 32.0345181)
CT,New Haven,27962.184508,0.7107085001044751,POINT (-72.9250518 41.3082138)
GA,Washington,19293.45573,0.9576786461830386,POINT (-82.7393089 33.7367948)
IN,Jefferson,20279.355482,0.9295905825227476,POINT (-86.5900034 40.2794807)
KS,Wichita,20824.377914,0.9140630152064486,POINT (-97.3375448 37.6922361)
IL,Wayne,22614.882388,0.8630519427848099,POINT (-88.2706313 41.9511386)
IA,Lyon,20888.784752,0.9122280787818964,POINT (-93.6401245 42.3468355)
MN,Norman,20814.79431,0.9143360499431964,POINT (-93.5068398 44.8774593)
AR,Ouachita,19022.15177,0.9654080353874788,POINT (-92.8293307 33.8523265)
CO,Douglas,34358.200800000006,0.5284874249723315,POINT (-82.8498654 31.5088073)
IN,Marshall,20614.124872000004,0.9200530773973414,POINT (-87.1877901 39.8480969)
MI,Marquette,22904.158666,0.8548105262560066,POINT (-87.396433 46.5434914)
CA,Alameda,36991.89704,0.4534540075270771,POINT (-122.241635 37.7652076)
KY,Leslie,19603.821114,0.9488364057361188,POINT (-85.4519094 36.7795052)
MI,Lake,19891.732720000004,0.940633868407694,POINT (-85.005307 43.8519677)
CA,El Dorado,30468.22046,0.6393120957419007,POINT (-120.8477146 38.6826817)
CO,Morgan,21857.531872,0.8846286897749667,POINT (-106.0200249 37.3277847)
